taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Bacteroides caccae TSDC17.2,28HM4,0,579840,314150,0,0,0,0,0,0,390700,197430,0,335370,290760,526150,486160,0,0,0
Bacteroides caccae TSDC17.2,28I6K,1918600,2211100,2900500,2387900,2593700,2543200,617490,4172300,1612100,684840,0,887880,694430,727690,622650,0,0,4204200,0
Bacteroides caccae TSDC17.2,28IER,0,407800,0,0,263260,0,0,0,0,182540,210590,0,0,338020,349650,373090,0,0,0
Bacteroides caccae TSDC17.2,28J57,40251000,22470000,33094000,17376000,28565000,25016990,15411270,13984400,19241100,6944800,8297510,3868100,5792400,8482770,12772000,8546500,14435710,16386000,10334630
Bacteroides caccae TSDC17.2,28JMJ,3130500,1442100,1460000,1566500,0,1340200,989170,1558000,957340,841480,422090,0,566800,641910,469640,1177900,678550,778710,0
Bacteroides caccae TSDC17.2,28KH3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,28M15,0,0,0,0,0,1962800,0,0,0,794690,0,779960,0,0,0,1151200,0,2254900,0
Bacteroides caccae TSDC17.2,28MDN,0,0,0,0,0,0,1477100,0,1349400,0,0,0,1068500,0,0,173190,0,0,0
Bacteroides caccae TSDC17.2,28MEJ,99606000,79622000,38612000,74131000,83154000,32116000,57212000,44376000,45012000,15376000,9595800,6939800,6547400,12333000,17929000,10810000,20215000,37796000,33524000
Bacteroides caccae TSDC17.2,28MTH,0,0,0,0,0,0,0,1476100,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,28N4A,5950400,5423000,7419700,5004000,5223600,4470400,4209900,13633000,13690000,1587700,0,1725200,2779500,4010400,2889300,3084600,2532400,4251400,2659500
Bacteroides caccae TSDC17.2,28NG9,0,0,0,0,600060,1230200,980340,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,28P2Y,23463500,25071300,25299600,18663800,20195800,29788700,35474000,21564800,30933500,9454500,7210900,9105600,6773100,10154400,10784590,9083400,7108500,12816470,13881500
Bacteroides caccae TSDC17.2,28P39,0,1595100,0,1575800,0,0,0,0,0,588010,0,0,0,0,0,0,0,1888500,0
Bacteroides caccae TSDC17.2,28U74,2860500,2056600,1129500,3344500,2700300,8863500,3872400,5102900,3288600,562550,0,0,0,0,0,0,853440,0,0
Bacteroides caccae TSDC17.2,292UM,1309400,1420300,0,1125800,1783500,2943500,2337900,0,718290,0,0,658750,0,0,1133200,1111500,0,2183200,0
Bacteroides caccae TSDC17.2,29CCT,298100,897420,1733700,866320,715990,1785600,2922300,4405500,2303000,169420,149690,0,161430,284340,561370,0,456340,676560,0
Bacteroides caccae TSDC17.2,29FTF,2690300,1619400,1714300,1941400,1267900,1693100,0,0,1673900,0,0,0,0,943960,0,0,0,0,0
Bacteroides caccae TSDC17.2,2A05V,2298900,3788300,3861000,1585800,675170,3256900,10896000,6322400,3304000,17189000,4479200,12027000,18090000,16105000,2355400,26441000,27841000,5765400,27793000
Bacteroides caccae TSDC17.2,2A58H,0,0,0,0,0,1215800,598010,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2A61U,3094900,2623100,3561800,4540600,4123800,4260200,2220900,2750500,0,521250,464740,0,0,407330,0,0,0,0,0
Bacteroides caccae TSDC17.2,2A748,0,0,0,0,0,0,0,0,0,310850,0,0,377440,210040,0,296690,0,0,0
Bacteroides caccae TSDC17.2,2A7YZ,2016700,945180,1973300,1706800,2516700,3180500,5412100,5296300,4985200,4614400,4423500,3095700,4952000,6131800,3483900,10020000,6807200,1633400,6138400
Bacteroides caccae TSDC17.2,2AAD5,241700,395050,862730,892770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2AAPJ,0,0,0,0,0,0,0,0,1152800,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2ABEY,0,0,0,0,0,0,0,0,0,106660,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2ABJK,0,925510,0,269340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2AF93,0,0,0,0,0,504660,85534,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2ARAZ,2.4e+07,30008000,41347000,30312000,24347000,32485000,1276400,0,96335,3716200,4906900,3902800,5498700,5338500,15343000,7339900,8818300,21345000,7365300
Bacteroides caccae TSDC17.2,2ARHI,0,0,0,0,0,540110,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2B168,0,279460,315260,243520,220310,0,0,751700,0,0,230910,250720,0,324260,0,0,0,233120,424100
Bacteroides caccae TSDC17.2,2B818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,856590
Bacteroides caccae TSDC17.2,2BU91,0,0,0,0,0,422890,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2BUJT,0,0,0,0,0,0,0,0,0,211820,0,0,222850,197280,463690,0,0,0,329460
Bacteroides caccae TSDC17.2,2BY7V,17173000,25864000,12468000,24578000,16504000,21117000,18192000,14100000,8890100,6506800,4553900,1550500,773600,3866900,9236200,5203900,3008600,4577800,3424800
Bacteroides caccae TSDC17.2,2BZE3,43825000,83034000,52293000,79362000,58344000,53999000,70002000,82948000,79190000,76879000,61806000,57529000,56652000,50227000,65924000,51888000,61003000,24682000,48893000
